City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,carutapera,-1.195,-46.02,25.2,82,8,2.5,BR,1701314322
1,thompson,55.7435,-97.8558,-17.27,82,95,3.31,CA,1701313756
2,grytviken,-54.2811,-36.5092,3.24,89,72,0.92,GS,1701314322
3,adamstown,-25.066,-130.1015,21.57,77,100,4.75,PN,1701314323
4,dudinka,69.4058,86.1778,-17.99,100,100,0.66,RU,1701313496
5,waitangi,-43.9535,-176.5597,13.23,72,21,4.92,NZ,1701314323
6,margaret river,-33.95,115.0667,22.92,58,89,5.79,AU,1701314323
7,bethel,41.3712,-73.414,0.36,58,100,2.57,US,1701313725
8,haiku-pauwela,20.9219,-156.3051,26.25,79,40,3.09,US,1701313773
9,olonkinbyen,70.9221,-8.7187,-1.82,90,94,7.15,SJ,1701313724
10,edinburgh of the seven seas,-37.0676,-12.3116,12.18,65,15,9.66,SH,1701313724
11,puerto deseado,-47.7503,-65.8938,17.34,35,90,12.9,AR,1701313753
12,tinajo,29.0788,-13.7081,19.49,73,20,3.09,ES,1701314323
13,enewetak,11.3474,162.3373,27.74,79,58,9.06,MH,1701313731
14,puerto ayora,-0.7393,-90.3518,24.75,89,37,1.34,EC,1701313724
15,bermejillo,25.8833,-103.6167,19.02,59,3,1.77,MX,1701314324
16,wailua homesteads,22.0669,-159.378,23.24,85,75,6.17,US,1701313731
17,port-aux-francais,-49.35,70.2167,2.2,97,100,21.56,TF,1701314324
18,georgetown,5.4112,100.3354,30.53,76,20,2.06,MY,1701313434
19,sao joao da barra,-21.6403,-41.0511,24.15,87,100,7.16,BR,1701314324
20,bredasdorp,-34.5322,20.0403,14.58,88,91,2.58,ZA,1701314324
21,port mathurin,-19.6833,63.4167,25.04,66,0,5.63,MU,1701313728
22,ribeira grande,38.5167,-28.7,14.87,71,84,8.49,PT,1701314324
23,puerto natales,-51.7236,-72.4875,5.64,88,99,8.28,CL,1701314324
24,ilulissat,69.2167,-51.1,5.01,52,80,11.83,GL,1701313737
25,papatowai,-46.5619,169.4708,10.67,68,100,4.92,NZ,1701314324
26,yellowknife,62.456,-114.3525,-17.47,95,40,2.57,CA,1701314058
27,iqaluit,63.7506,-68.5145,-0.15,80,100,7.2,CA,1701314325
28,les anglais,18.3054,-74.2197,25.56,83,82,0.24,HT,1701313751
29,udachny,66.4167,112.4,-11.97,92,100,12.02,RU,1701313454
30,blackmans bay,-43.0167,147.3167,15.07,70,100,4.63,AU,1701314325
31,qaqortoq,60.7167,-46.0333,-2.23,68,100,6.47,GL,1701313434
32,aberdeen,57.1437,-2.0981,2.27,90,20,4.12,GB,1701314140
33,bilibino,68.0546,166.4372,-34.73,98,12,1.46,RU,1701314325
34,luderitz,-26.6481,15.1594,16.9,70,0,3.21,NA,1701313729
35,punta arenas,-53.15,-70.9167,7.06,81,75,6.17,CL,1701314325
36,kunyang,27.6658,120.5658,14.35,64,97,3.01,CN,1701314325
37,tralee,52.2704,-9.7026,0.78,85,84,3.9,IE,1701314326
38,santa elena de uairen,4.6167,-61.1333,20.28,70,91,2.09,VE,1701314326
39,pacific grove,36.6177,-121.9166,14.25,88,75,0.45,US,1701313787
40,gadzhiyevo,69.2551,33.3362,-1.32,95,100,5.47,RU,1701313737
41,saldanha,-33.0117,17.9442,18.06,56,91,2.16,ZA,1701313742
42,nagqu,31.5,92.0,-5.34,55,92,2.76,CN,1701314326
43,whitehorse,60.7161,-135.0538,-8.88,85,75,7.2,CA,1701314199
44,sao jose da coroa grande,-8.8978,-35.1478,24.46,77,4,2.26,BR,1701314326
45,mahina,-17.5065,-149.489,29.87,70,75,3.6,PF,1701313648
46,porto novo,6.4965,2.6036,26.9,87,94,1.98,BJ,1701314326
47,broken hill,-31.95,141.4333,24.64,36,67,5.11,AU,1701313813
48,remire-montjoly,4.9167,-52.2667,27.02,83,20,0.0,GF,1701313750
49,tiksi,71.6872,128.8694,-20.72,92,100,11.25,RU,1701314327
50,chonchi,-42.6128,-73.8092,11.73,92,99,2.11,CL,1701314327
51,khanty-mansiysk,61.0042,69.0019,-13.94,85,0,1.0,RU,1701313736
52,selfoss,63.9331,-20.9971,0.33,97,98,2.42,IS,1701313777
53,nemuro,43.3236,145.575,0.03,41,45,10.06,JP,1701313779
54,mersa matruh,31.3525,27.2453,16.03,51,99,3.32,EG,1701314327
55,west island,-12.1568,96.8225,27.99,65,40,6.69,CC,1701314327
56,college,64.8569,-147.8028,-11.03,86,75,0.0,US,1701314327
57,kodiak,57.79,-152.4072,1.73,87,100,10.8,US,1701313457
58,ushuaia,-54.8,-68.3,6.81,61,75,4.63,AR,1701314328
59,north battleford,52.7834,-108.2847,-0.89,64,100,5.66,CA,1701314328
60,vredendal,-31.6683,18.5012,21.16,25,72,3.74,ZA,1701314328
61,uwajima,33.2238,132.56,10.39,76,100,6.56,JP,1701314259
62,magistral'nyy,56.1725,107.4458,-16.46,91,100,2.17,RU,1701314328
63,puerto baquerizo moreno,-0.9,-89.6,24.26,78,52,4.01,EC,1701313737
64,sur,22.5667,59.5289,23.59,67,0,3.1,OM,1701314328
65,vinga,46.0167,21.2,-1.63,86,100,4.12,RO,1701314328
66,yei,4.095,30.6779,19.48,91,98,1.31,SS,1701314328
67,xishan,27.6667,113.5,13.23,51,99,2.72,CN,1701314329
68,hammerfest,70.6634,23.6821,-0.75,74,100,6.17,NO,1701313798
69,hawaiian paradise park,19.5933,-154.9731,25.73,93,75,0.89,US,1701314329
70,alpena,45.0617,-83.4327,1.18,85,100,3.6,US,1701314329
71,vilyuchinsk,52.9306,158.4028,-4.3,73,100,4.61,RU,1701313739
72,ust-nera,64.5667,143.2,-25.66,97,99,3.04,RU,1701314331
73,pitimbu,-7.4706,-34.8086,25.33,75,51,4.69,BR,1701314331
74,souillac,-20.5167,57.5167,24.84,75,5,3.4,MU,1701313735
75,kerikeri,-35.2268,173.9474,21.62,60,100,0.89,NZ,1701314331
76,kirkwall,58.9848,-2.9587,4.03,75,75,4.12,GB,1701314331
77,tateyama,34.9833,139.8667,17.28,50,16,12.98,JP,1701314331
